Date,Platform,Harassment_Type,Target_Type,Target_Name,Content_Summary,Source_URL,Notes
2024-07-20,Physical_Assault,Physical_Violence,Journalist,Misbah,"Channel 13 cameraperson forcibly grabbed and pushed by police officer",https://monitor.civicus.org/explore/maldives-ahead-of-the-presidential-elections-journalists-face-harassment-while-crackdown-on-protests-persists/,Police assault while covering protest
2024-07-20,Physical_Assault,Physical_Violence,Journalist,Maathu_Hussain,"Sangu News journalist pushed to ground by police during protest coverage",https://monitor.civicus.org/explore/maldives-ahead-of-the-presidential-elections-journalists-face-harassment-while-crackdown-on-protests-persists/,Both journalists fell to ground
2024-01-08,Cyber_Attack,Website_Hacking,Government,Juvenile_Court,"Indian hackers (Team Network9) hacked Juvenile Court website with warning message",https://atolltimes.mv/post/news/7226,Geopolitical cyber attack
2024-01-08,Cyber_Attack,Website_Attack,Government,Presidents_Office,"President's Office website attacked and taken down",https://atolltimes.mv/post/news/7226,Part of India-Maldives tensions
2024-01-08,Cyber_Attack,Website_Attack,Government,Foreign_Ministry,"Foreign Ministry website attacked and taken down",https://atolltimes.mv/post/news/7226,Government infrastructure targeted
2024-01-08,Cyber_Attack,Website_Attack,Government,Tourism_Ministry,"Tourism Ministry website attacked and taken down",https://atolltimes.mv/post/news/7226,Economic sector targeted
2024-01-08,Cyber_Attack,Website_Attack,Tourism,Resort_Websites,"Multiple Maldivian resort websites subjected to cyber attacks",https://atolltimes.mv/post/news/7226,Tourism industry targeted
2019-02-08,Death_Threat,Online_Threat,Activist,Multiple_HRDs,"Human rights defenders received death threats for criticizing stoning punishment",https://forum-asia.org/the-maldives-ensure-security-for-human-rights-defenders-and-stop-online-harassment/,Religious extremist threats
2019-02-08,Online_Harassment,Intimidation,Activist,Aishath_Aniya,"Received threats after criticizing construction issues",https://forum-asia.org/the-maldives-ensure-security-for-human-rights-defenders-and-stop-online-harassment/,Targeted for speaking out
2020-01-01,Character_Assassination,Gender_Based_Violence,Female_Politicians,Women_Candidates,"Character assassinations online related to societal norms about women in politics",https://engagemedia.org/2023/gif-digital-rights-maldives/,Systematic targeting of female politicians
2021-01-01,Online_Violence,Gender_Based_Harassment,Female_Politicians,Prominent_Women,"Women politicians subject to abuse for opinions perceived as affront to religion",https://engagemedia.org/2023/gif-digital-rights-maldives/,Religious justification for harassment
2022-06-01,Financial_Scam,Phishing,General_Public,Bank_Customers,"Bank of Maldives: 1360 cases US$2.2M loss in 2022",https://engagemedia.org/2023/gif-digital-rights-maldives/,Large-scale financial cybercrime
2023-06-01,Data_Breach,Privacy_Violation,General_Public,Maldivians,"Large amount of personal data leaked online - police warning issued",https://engagemedia.org/2023/gif-digital-rights-maldives/,Mass data exposure
2024-06-01,Cyber_Harassment,Blackmail,General_Public,Relationship_Victims,"Threats to leak private/intimate photos after breakup - common issue",https://asiapacific.unwomen.org/en/stories/press-release/2025/11/online-abuse-silences-women-and-marginalized-groups-in-sri-lanka,Intimate image abuse
2024-08-01,Self_Censorship,Fear_Response,Female_Politicians,Women_Leaders,"1 in 4 female respondents shut down social media accounts due to harassment",https://maldivesindependent.com/politics/i-completely-broke-down-the-cyber-violence-pushing-women-out-of-maldivian-politics-9afd,Westminster Foundation study
2024-09-01,Online_Violence,Multiple_Types,Female_Journalists,Women_Media,"60% of Maldivian journalists experience online violence gender-specific for women",https://engagemedia.org/2023/gif-digital-rights-maldives/,Systematic targeting
2024-09-05,Doxxing,Privacy_Invasion,Female_Politicians,Women_Leaders,"Sharing personal details online leaking intimate photos of female politicians",https://maldivesindependent.com/politics/i-completely-broke-down-the-cyber-violence-pushing-women-out-of-maldivian-politics-9afd,Westminster Foundation categories
2024-09-08,Sexualized_Harassment,Gender_Violence,Female_Politicians,Women_Leaders,"Unsolicited sexual messages explicit images objectifying comments",https://maldivesindependent.com/politics/i-completely-broke-down-the-cyber-violence-pushing-women-out-of-maldivian-politics-9afd,Gender-based attacks
2024-09-12,Sexual_Violence_Threats,Gender_Violence,Female_Politicians,Women_Leaders,"Rape threats coercion assault threats against female politicians",https://maldivesindependent.com/politics/i-completely-broke-down-the-cyber-violence-pushing-women-out-of-maldivian-politics-9afd,Severe intimidation
2024-10-01,Death_Threats,Violence_Threat,Female_Politicians,Women_Leaders,"Death threats threats of physical harm against female politicians",https://maldivesindependent.com/politics/i-completely-broke-down-the-cyber-violence-pushing-women-out-of-maldivian-politics-9afd,Life-threatening harassment
